date,actual,forecast_close,forecast_high,forecast_low,action
2020-09-11,3340.969970703125,3408.9365,3420.4663,3363.5493,BUY
2020-09-18,3319.469970703125,3406.432,3415.7664,3365.9062,BUY
2020-09-25,3298.4599609375,3223.0925,3247.812,3179.02,SELL
2020-10-02,3348.419921875,3342.34,3366.3904,3326.472,HOLD
2020-10-09,3477.139892578125,3461.1917,3478.028,3429.8813,HOLD
2020-10-16,3483.81005859375,3482.233,3496.5872,3462.5586,HOLD
2020-10-23,3465.389892578125,3434.1694,3442.6775,3384.5642,HOLD
2020-10-30,3269.9599609375,3390.9148,3394.8965,3343.205,BUY
2020-11-06,3509.43994140625,3544.476,3551.48,3519.1196,BUY
2020-11-13,3585.14990234375,3522.3428,3538.5168,3509.843,SELL
2020-11-20,3557.5400390625,3582.9414,3647.771,3537.8057,BUY
2020-11-30,3621.6298828125,3624.8628,3640.755,3611.2405,HOLD
2020-12-07,3691.9599609375,3674.4597,3688.7366,3662.2368,HOLD
2020-12-14,3647.489990234375,3667.602,3668.4119,3653.5671,HOLD
2020-12-21,3694.919921875,3703.101,3707.551,3691.3562,HOLD
2020-12-29,3727.0400390625,3719.5232,3730.8171,3713.4814,HOLD
2021-01-06,3748.139892578125,3721.7112,3732.8516,3708.4521,HOLD
2021-01-13,3809.840087890625,3758.692,3815.7676,3761.9248,HOLD
2021-01-21,3853.070068359375,3811.6436,3831.9976,3788.8909,HOLD
2021-01-28,3787.3798828125,3810.5408,3811.8882,3748.5652,BUY
2021-02-04,3871.739990234375,3828.7996,3846.5383,3810.243,HOLD
2021-02-11,3916.3798828125,3909.1821,3920.9177,3884.3381,HOLD
2021-02-19,3906.7099609375,3877.03,3902.0696,3858.77,HOLD
2021-02-26,3811.14990234375,3870.5657,3882.7722,3818.1536,BUY
2021-03-05,3841.93994140625,3732.017,3768.6995,3660.2625,SELL
2021-03-12,3943.340087890625,3932.8967,3954.382,3916.7583,HOLD
2021-03-19,3913.10009765625,3916.7156,3930.794,3886.8718,HOLD
2021-03-26,3974.5400390625,3931.7285,3945.393,3915.4524,HOLD
2021-04-05,4077.909912109375,4023.7173,4030.6907,4009.073,HOLD
2021-04-12,4127.990234375,4121.8364,4120.924,4110.129,HOLD
2021-04-19,4163.259765625,4191.721,4183.2153,4180.5493,HOLD
2021-04-26,4187.6201171875,4217.2905,4218.5024,4197.766,HOLD
2021-05-03,4192.66015625,4182.5044,4190.2266,4164.594,HOLD
2021-05-10,4188.43017578125,4226.9546,4235.6357,4208.2427,BUY
2021-05-17,4163.2900390625,4216.538,4224.446,4188.2197,BUY
2021-05-24,4197.0498046875,4194.697,4198.221,4167.0737,HOLD
2021-06-01,4202.0400390625,4178.0938,4225.022,4164.4766,HOLD
2021-06-08,4227.259765625,4214.7656,4229.9956,4214.041,HOLD
2021-06-15,4246.58984375,4245.6074,4255.3,4232.6094,HOLD
2021-06-22,4246.43994140625,4208.6514,4224.567,4193.7983,HOLD
2021-06-29,4291.7998046875,4282.578,4292.0737,4276.493,HOLD
2021-07-07,4358.1298828125,4302.492,4316.102,4290.648,HOLD
2021-07-14,4374.2998046875,4366.9385,4379.8804,4354.8022,HOLD
2021-07-21,4358.68994140625,4295.849,4334.11,4287.7227,HOLD
2021-07-28,4400.64013671875,4423.325,4423.949,4385.8765,BUY
2021-08-04,4402.66015625,4379.3325,4405.1416,4363.7905,HOLD
2021-08-11,4442.41015625,4419.0015,4427.0835,4401.257,HOLD
2021-08-18,4400.27001953125,4429.437,4437.0933,4411.7656,BUY
2021-08-25,4496.18994140625,4510.7246,4510.6934,4481.98,HOLD
2021-09-01,4524.08984375,4531.5894,4539.2656,4510.5215,HOLD
2021-09-09,4493.27978515625,4489.5117,4521.4756,4484.6724,HOLD
2021-09-16,4473.75,4468.2124,4469.2056,4421.1196,HOLD
2021-09-23,4448.97998046875,4384.02,4404.658,4372.489,HOLD
2021-09-30,4307.5400390625,4362.862,4376.582,4288.185,BUY
2021-10-07,4399.759765625,4354.155,4368.5244,4285.377,HOLD
2021-10-14,4438.259765625,4368.542,4402.493,4345.6875,SELL
2021-10-21,4549.77978515625,4518.288,4536.2534,4511.7744,HOLD
2021-10-28,4596.419921875,4543.231,4572.614,4526.7114,HOLD
2021-11-04,4680.06005859375,4677.105,4671.242,4648.9155,HOLD
2021-11-11,4649.27001953125,4649.147,4666.4736,4631.4644,HOLD
2021-11-18,4704.5400390625,4700.7344,4705.239,4687.4565,HOLD
2021-11-26,4594.6201171875,4722.0703,4729.487,4705.0117,BUY
2021-12-03,4538.43017578125,4636.3335,4642.3135,4614.404,BUY
2021-12-10,4712.02001953125,4681.281,4693.984,4655.9272,HOLD
2021-12-17,4620.64013671875,4672.554,4689.07,4653.809,BUY
2021-12-27,4791.18994140625,4720.898,4735.3286,4712.8906,HOLD
2022-01-03,4796.56005859375,4771.8076,4788.194,4747.4707,HOLD
2022-01-10,4670.2900390625,4667.226,4686.4194,4642.947,HOLD
2022-01-18,4577.10986328125,4683.541,4697.7925,4654.354,BUY
2022-01-25,4356.4501953125,4465.4077,4515.3823,4385.599,BUY
2022-02-01,4546.5400390625,4552.432,4589.6084,4461.507,HOLD
2022-02-08,4521.5400390625,4444.0938,4530.5283,4401.5005,HOLD
2022-02-15,4471.06982421875,4438.324,4475.658,4366.05,HOLD
2022-02-23,4225.5,4282.3066,4331.5054,4232.573,BUY
2022-03-02,4386.5400390625,4253.7583,4323.1836,4208.785,SELL
2022-03-09,4277.8798828125,4336.7256,4385.6475,4204.3076,BUY
2022-03-16,4357.85986328125,4233.232,4308.003,4199.7026,SELL
2022-03-23,4456.240234375,4497.5015,4521.3564,4457.4424,BUY
2022-03-30,4602.4501953125,4675.651,4684.3755,4625.646,BUY
2022-04-06,4481.14990234375,4583.8667,4576.4463,4494.166,BUY
2022-04-13,4446.58984375,4393.031,4421.1167,4374.43,HOLD
2022-04-21,4393.66015625,4461.549,4486.642,4440.7847,BUY
2022-04-28,4287.5,4225.7227,4279.2354,4130.37,HOLD
2022-05-05,4146.8701171875,4277.2324,4319.378,4272.2188,BUY
2022-05-12,3930.080078125,4000.412,4052.9338,3984.0098,BUY
2022-05-19,3900.7900390625,3954.1365,4010.0146,3906.7148,BUY
2022-05-26,4057.840087890625,3933.7253,4014.9717,3920.3323,SELL
2022-06-03,4108.5400390625,4119.8696,4166.424,4110.0347,HOLD
2022-06-10,3900.860107421875,4062.4,4087.6821,3984.6196,BUY
2022-06-17,3674.840087890625,3663.0176,3715.9744,3624.3406,HOLD
2022-06-27,3900.110107421875,3769.6758,3871.9863,3737.4631,SELL
2022-07-05,3831.389892578125,3864.2908,3885.872,3815.0188,BUY
2022-07-12,3818.800048828125,3918.2534,3935.5066,3855.4211,BUY
2022-07-19,3936.68994140625,3861.569,3867.1682,3810.6868,SELL
2022-07-26,3921.050048828125,3926.6191,3943.3972,3906.5945,HOLD
2022-08-02,4091.18994140625,4064.4685,4111.754,4044.236,HOLD
2022-08-09,4122.47021484375,4210.0283,4212.1006,4135.242,BUY
2022-08-16,4305.2001953125,4291.368,4295.2363,4253.7964,HOLD
2022-08-23,4128.72998046875,4152.6304,4212.4146,4130.9756,BUY
2022-08-30,3986.159912109375,4051.3054,4053.9846,3876.0222,HOLD
2022-09-07,3979.8701171875,4006.879,4018.5876,3980.8264,BUY
2022-09-14,3946.010009765625,3961.8752,3993.3044,3746.0095,HOLD
2022-09-21,3789.929931640625,3853.7065,3866.9531,3814.0159,BUY
2022-09-28,3719.0400390625,3670.5618,3715.36,3603.3726,HOLD
2022-10-05,3783.280029296875,3734.1113,3800.35,3716.9941,HOLD
2022-10-12,3577.030029296875,3576.104,3626.3525,3561.6616,HOLD
2022-10-19,3695.159912109375,3711.7244,3745.3215,3686.5017,BUY
2022-10-26,3830.60009765625,3783.1514,3864.1353,3762.5867,HOLD
2022-11-02,3759.68994140625,3797.0876,3818.3467,3529.592,BUY
2022-11-09,3748.570068359375,3870.008,3882.4905,3852.2825,BUY
2022-11-16,3958.7900390625,4024.519,4031.935,3901.261,BUY
2022-11-23,4027.260009765625,4012.5103,4028.4702,3996.2473,HOLD
2022-12-01,4076.570068359375,3972.083,4101.5913,3975.057,SELL
2022-12-08,3963.510009765625,3963.6853,3968.803,3929.601,HOLD
2022-12-15,3895.75,4027.276,4041.9304,3994.3215,BUY
2022-12-22,3822.389892578125,3881.993,3913.4265,3860.399,BUY
2022-12-30,3839.5,3847.238,3872.5442,3836.3984,HOLD
2023-01-09,3892.090087890625,3888.0227,3970.9998,3881.9365,HOLD
2023-01-17,3990.969970703125,3996.9934,4012.8127,3972.5962,HOLD
2023-01-24,4016.949951171875,4061.0088,4103.2163,4028.254,BUY
2023-01-31,4076.60009765625,4000.0366,4024.3367,3986.8801,SELL
2023-02-07,4164.0,4137.0728,4155.155,4103.601,HOLD
2023-02-14,4136.1298828125,4173.764,4195.1104,4110.5005,HOLD
2023-02-22,3991.050048828125,4027.819,4047.1987,3985.5723,BUY
2023-03-01,3951.389892578125,3933.406,3981.6401,3923.7834,HOLD
2023-03-08,3992.010009765625,3941.0703,3973.5823,3904.95,SELL
2023-03-15,3891.929931640625,3962.151,3987.6746,3924.1677,BUY
2023-03-22,3936.969970703125,3954.3677,4017.0342,3929.8245,BUY
2023-03-29,4027.81005859375,3965.2126,3986.0164,3948.2676,SELL
2023-04-05,4090.3798828125,4082.9507,4088.1875,4060.7278,HOLD
2023-04-13,4146.22021484375,4063.5093,4117.2925,4060.5278,SELL
2023-04-20,4129.7900390625,4161.2227,4167.021,4137.724,BUY
2023-04-27,4135.35009765625,4128.3228,4139.25,4074.4712,HOLD
2023-05-04,4061.219970703125,4126.203,4148.7734,4065.908,BUY
2023-05-11,4130.6201171875,4116.46,4156.9746,4106.0967,HOLD
2023-05-18,4198.0498046875,4156.499,4166.8164,4139.7676,HOLD
2023-05-25,4151.27978515625,4145.8604,4155.137,4114.5645,HOLD
2023-06-02,4282.3701171875,4217.922,4234.61,4202.0225,SELL
2023-06-09,4298.85986328125,4290.502,4310.9556,4273.9487,HOLD
2023-06-16,4409.58984375,4416.3794,4433.798,4393.6196,HOLD
2023-06-26,4328.81982421875,4332.456,4351.221,4314.6025,HOLD
2023-07-03,4455.58984375,4485.561,4492.322,4457.773,HOLD
2023-07-11,4439.259765625,4424.4717,4438.5557,4389.4824,HOLD
2023-07-18,4554.97998046875,4491.8125,4512.999,4479.542,HOLD
2023-07-25,4567.4599609375,4559.705,4570.301,4539.159,HOLD
2023-08-01,4576.72998046875,4523.9565,4564.8003,4514.726,HOLD
2023-08-08,4499.3798828125,4480.4087,4506.2817,4472.981,HOLD
2023-08-15,4437.85986328125,4501.5654,4504.73,4481.3257,BUY
2023-08-22,4387.5498046875,4422.879,4430.39,4392.6274,BUY
2023-08-29,4497.6298828125,4400.1113,4422.284,4378.8057,SELL
2023-09-06,4465.47998046875,4513.5757,4537.529,4490.848,BUY
2023-09-13,4467.43994140625,4461.969,4462.7676,4402.3877,HOLD
2023-09-20,4402.2001953125,4405.6265,4432.606,4397.047,HOLD
2023-09-27,4274.509765625,4316.3887,4342.344,4297.711,BUY
2023-10-04,4263.75,4253.9644,4278.356,4229.638,HOLD
2023-10-11,4376.9501953125,4332.218,4388.692,4324.418,HOLD
2023-10-18,4314.60009765625,4329.9893,4360.3726,4307.0176,BUY
2023-10-25,4186.77001953125,4219.9883,4255.05,4196.3936,BUY
2023-11-01,4237.85986328125,4135.7188,4180.1416,4116.1616,SELL
2023-11-08,4382.77978515625,4372.664,4388.4307,4352.849,HOLD
2023-11-15,4502.8798828125,4459.9844,4501.4717,4454.2935,HOLD
2023-11-22,4556.6201171875,4526.6445,4536.1294,4504.005,HOLD
2023-11-30,4567.7998046875,4630.9263,4637.6543,4595.351,BUY
2023-12-07,4585.58984375,4514.5146,4572.6094,4502.765,SELL
2023-12-14,4719.5498046875,4718.2104,4725.5503,4706.166,HOLD
2023-12-21,4746.75,4701.209,4707.9727,4683.758,HOLD
2023-12-29,4769.830078125,4791.0957,4792.524,4771.886,BUY
2024-01-08,4763.5400390625,4737.7695,4743.032,4712.4395,HOLD
2024-01-16,4765.97998046875,4812.2163,4813.158,4772.867,BUY
2024-01-23,4864.60009765625,4822.6177,4877.927,4816.8125,HOLD
